rebalance_date,stkcd
2016-05-01,600016
2016-05-01,600018
2016-05-01,600020
2016-05-01,600021
2016-05-01,600023
2016-05-01,600027
2016-05-01,600030
2016-05-01,600036
2016-05-01,600039
2016-05-01,600048
2016-05-01,600056
2016-05-01,600060
2016-05-01,600068
2016-05-01,600079
2016-05-01,600100
2016-05-01,600104
2016-05-01,600109
2016-05-01,600115
2016-05-01,600176
2016-05-01,600177
2016-05-01,600183
2016-05-01,600185
2016-05-01,600196
2016-05-01,600197
2016-05-01,600236
2016-05-01,600270
2016-05-01,600297
2016-05-01,600299
2016-05-01,600309
2016-05-01,600312
2016-05-01,600340
2016-05-01,600350
2016-05-01,600352
2016-05-01,600369
2016-05-01,600373
2016-05-01,600376
2016-05-01,600377
2016-05-01,600380
2016-05-01,600396
2016-05-01,600398
2016-05-01,600426
2016-05-01,600466
2016-05-01,600486
2016-05-01,600537
2016-05-01,600583
2016-05-01,600606
2016-05-01,600629
2016-05-01,600649
2016-05-01,600658
2016-05-01,600660
2016-05-01,600674
2016-05-01,600683
2016-05-01,600684
2016-05-01,600686
2016-05-01,600688
2016-05-01,600697
2016-05-01,600704
2016-05-01,600705
2016-05-01,600723
2016-05-01,600741
2016-05-01,600743
2016-05-01,600803
2016-05-01,600814
2016-05-01,600823
2016-05-01,600835
2016-05-01,600837
2016-05-01,600884
2016-05-01,600886
2016-05-01,600889
2016-05-01,600891
2016-05-01,600894
2016-05-01,600897
2016-05-01,600900
2016-05-01,600958
2016-05-01,600970
2016-05-01,600981
2016-05-01,600987
2016-05-01,600999
2016-05-01,601006
2016-05-01,601009
2016-05-01,601111
2016-05-01,601158
2016-05-01,601166
2016-05-01,601169
2016-05-01,601186
2016-05-01,601211
2016-05-01,601222
2016-05-01,601288
2016-05-01,601318
2016-05-01,601328
2016-05-01,601336
2016-05-01,601377
2016-05-01,601398
2016-05-01,601555
2016-05-01,601601
2016-05-01,601628
2016-05-01,601633
2016-05-01,601668
2016-05-01,601688
2016-05-01,601766
2016-05-01,601788
2016-05-01,601818
2016-05-01,601872
2016-05-01,601901
2016-05-01,601939
2016-05-01,601985
2016-05-01,601988
2016-05-01,601998
2016-05-01,603328
2016-05-01,603778
2017-05-01,000001
2017-05-01,000002
2017-05-01,000006
2017-05-01,000022
2017-05-01,000028
2017-05-01,000030
2017-05-01,000031
2017-05-01,000036
